backend,qubits,depth,repetition,shots,expected_state,logical_gate_count,transpiled_gate_count,success_probability,error_rate,counts,job_id
ibm_marrakesh,3,16,0,1000,000 000,169,3,0.0,1.0,"{'000': 992, '001': 5, '010': 2, '100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,16,1,1000,000 000,169,3,0.0,1.0,"{'000': 993, '010': 2, '100': 2, '001': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,3,16,2,1000,000 000,169,3,0.0,1.0,"{'000': 997, '010': 2, '100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,16,3,1000,000 000,169,3,0.0,1.0,"{'000': 996, '010': 3, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,16,4,1000,000 000,169,3,0.0,1.0,"{'000': 995, '001': 2, '010': 1, '100': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,3,32,0,1000,000 000,329,3,0.0,1.0,{'000': 1000},dambkidr85ps73fcicrg
ibm_marrakesh,3,32,1,1000,000 000,329,3,0.0,1.0,"{'000': 994, '010': 3, '001': 1, '100': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,3,32,2,1000,000 000,329,3,0.0,1.0,"{'000': 993, '001': 3, '100': 2, '010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,3,32,3,1000,000 000,329,3,0.0,1.0,"{'000': 995, '010': 4, '001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,3,32,4,1000,000 000,329,3,0.0,1.0,"{'000': 999, '100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,1,0,1000,0000 0000,26,4,0.0,1.0,"{'0000': 986, '1000': 10, '0001': 1, '0010': 2, '0100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,1,1,1000,0000 0000,26,4,0.0,1.0,"{'0000': 985, '1000': 8, '0010': 3, '0100': 1, '0001': 2, '1100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,1,2,1000,0000 0000,26,4,0.0,1.0,"{'0000': 991, '0010': 3, '1000': 4, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,1,3,1000,0000 0000,26,4,0.0,1.0,"{'0000': 990, '1000': 6, '0010': 2, '0001': 1, '0100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,1,4,1000,0000 0000,26,4,0.0,1.0,"{'0000': 989, '1000': 8, '0010': 3}",dambkidr85ps73fcicrg
ibm_marrakesh,4,2,0,1000,0000 0000,40,4,0.0,1.0,"{'0000': 994, '1000': 3, '0001': 2, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,2,1,1000,0000 0000,40,4,0.0,1.0,"{'0000': 993, '1000': 6, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,2,2,1000,0000 0000,40,4,0.0,1.0,"{'0000': 989, '1000': 6, '0001': 2, '1100': 1, '0100': 1, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,2,3,1000,0000 0000,40,4,0.0,1.0,"{'0000': 990, '1000': 8, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,2,4,1000,0000 0000,40,4,0.0,1.0,"{'0000': 989, '1000': 11}",dambkidr85ps73fcicrg
ibm_marrakesh,4,4,0,1000,0000 0000,68,4,0.0,1.0,"{'0000': 987, '1000': 7, '0010': 4, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,4,1,1000,0000 0000,68,4,0.0,1.0,"{'0000': 995, '1000': 3, '0010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,4,2,1000,0000 0000,68,4,0.0,1.0,"{'0000': 991, '1000': 4, '0100': 2, '0001': 2, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,4,3,1000,0000 0000,68,4,0.0,1.0,"{'0000': 992, '1000': 6, '0001': 1, '0010': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,4,4,1000,0000 0000,68,4,0.0,1.0,"{'0000': 992, '1000': 5, '0010': 2, '0001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,8,0,1000,0000 0000,124,4,0.0,1.0,"{'0000': 990, '0100': 1, '1000': 7, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,8,1,1000,0000 0000,124,4,0.0,1.0,"{'0000': 989, '1000': 9, '0010': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,8,2,1000,0000 0000,124,4,0.0,1.0,"{'0000': 991, '0001': 1, '0010': 3, '1000': 4, '1100': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,8,3,1000,0000 0000,124,4,0.0,1.0,"{'0000': 992, '1000': 7, '0001': 1}",dambkidr85ps73fcicrg
ibm_marrakesh,4,8,4,1000,0000 0000,124,4,0.0,1.0,"{'0000': 988, '1000': 8, '0010': 1, '1100': 1, '0001': 2}",dambkidr85ps73fcicrg
ibm_marrakesh,4,16,0,1000,0000 0000,236,4,0.0,1.0,"{'0000': 993, '1000': 5, '0001': 2}",dambkidr85ps73fcicrg
