qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate
2,1,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992
2,1,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991
2,1,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995
2,1,thermal,0.0,1.0,0.0,1.0,0.0,0.0
2,1,thermal,0.001,1.0,0.0,1.0,0.0,0.0
2,1,thermal,0.002,1.0,0.0,1.0,0.0,0.0
2,1,thermal,0.005,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695
2,1,thermal,0.01,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595
2,1,thermal,0.02,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899
2,1,thermal,0.05,0.9970000000000001,0.001581138830084216,0.9970000000000001,0.001581138830084216,0.0029999999999998916
2,1,thermal,0.1,0.9949999999999999,0.0009999999999999998,0.9949999999999999,0.0009999999999999998,0.0050000000000001155
2,2,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,2,bit_flip,0.001,0.9890000000000001,0.002449489742783197,0.9890000000000001,0.002449489742783197,0.010999999999999899
2,2,bit_flip,0.002,0.9776,0.003507135583350022,0.9776,0.003507135583350022,0.022399999999999975
2,2,bit_flip,0.005,0.9495999999999999,0.004505552130427515,0.9495999999999999,0.004505552130427467,0.05040000000000011
2,2,bit_flip,0.01,0.9052,0.0037682887362833583,0.9052,0.0037682887362833583,0.0948
2,2,bit_flip,0.02,0.8238,0.009757048734120392,0.8238,0.009757048734120418,0.17620000000000002
2,2,bit_flip,0.05,0.6218,0.013917614738165471,0.6218000000000001,0.01391761473816549,0.3782
2,2,bit_flip,0.1,0.40259999999999996,0.016727223320085118,0.40259999999999996,0.016727223320085118,0.5974
2,2,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0
2,2,depolarizing,0.001,0.99,0.0029154759474226528,0.99,0.0029154759474226528,0.010000000000000009
2,2,depolarizing,0.002,0.9795999999999999,0.0034351128074635276,0.9795999999999999,0.0034351128074635276,0.020400000000000085
2,2,depolarizing,0.005,0.954,0.0033911649915626474,0.954,0.0033911649915626704,0.04600000000000004
2,2,depolarizing,0.01,0.9146000000000001,0.002073644135332779,0.9146000000000001,0.002073644135332779,0.08539999999999992
2,2,depolarizing,0.02,0.8416,0.00950263121456366,0.8416,0.0095026312145637,0.15839999999999999
2,2,depolarizing,0.05,0.6524,0.014690132742763115,0.6523999999999999,0.014690132742763077,0.3476
2,2,depolarizing,0.1,0.4492,0.01657407614318215,0.44919999999999993,0.016574076143182195,0.5508
2,2,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,2,phase_flip,0.001,0.9890000000000001,0.002449489742783197,0.9890000000000001,0.002449489742783197,0.010999999999999899
2,2,phase_flip,0.002,0.9776,0.003507135583350022,0.9776,0.003507135583350022,0.022399999999999975
2,2,phase_flip,0.005,0.9495999999999999,0.004505552130427515,0.9495999999999999,0.004505552130427467,0.05040000000000011
2,2,phase_flip,0.01,0.9052,0.0037682887362833583,0.9052,0.0037682887362833583,0.0948
2,2,phase_flip,0.02,0.8238,0.009757048734120392,0.8238,0.009757048734120418,0.17620000000000002
2,2,phase_flip,0.05,0.6218,0.013917614738165471,0.6218000000000001,0.01391761473816549,0.3782
2,2,phase_flip,0.1,0.40259999999999996,0.016727223320085118,0.40259999999999996,0.016727223320085118,0.5974
2,2,readout,0.0,1.0,0.0,1.0,0.0,0.0
2,2,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797
2,2,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366
2,2,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009
2,2,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995
2,2,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992
2,2,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991
2,2,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995
2,2,thermal,0.0,1.0,0.0,1.0,0.0,0.0
2,2,thermal,0.001,1.0,0.0,1.0,0.0,0.0
2,2,thermal,0.002,1.0,0.0,1.0,0.0,0.0
2,2,thermal,0.005,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695
2,2,thermal,0.01,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595
2,2,thermal,0.02,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899
2,2,thermal,0.05,0.9962,0.0008366600265340797,0.9962,0.0008366600265340797,0.0038000000000000256
2,2,thermal,0.1,0.9928000000000001,0.002588435821108966,0.9928000000000001,0.002588435821108966,0.007199999999999873
2,4,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,4,bit_flip,0.001,0.9795999999999999,0.0034351128074635276,0.9795999999999999,0.0034351128074635276,0.020400000000000085
2,4,bit_flip,0.002,0.9602,0.002167948338867923,0.9602,0.002167948338867923,0.03979999999999995
2,4,bit_flip,0.005,0.9146000000000001,0.002073644135332779,0.9146000000000001,0.002073644135332779,0.08539999999999992
2,4,bit_flip,0.01,0.8416,0.00950263121456366,0.8416,0.0095026312145637,0.15839999999999999
2,4,bit_flip,0.02,0.7091999999999999,0.012637246535539338,0.7091999999999999,0.012637246535539338,0.29080000000000006
2,4,bit_flip,0.05,0.44980000000000003,0.016558985476169727,0.4497999999999999,0.01655898547616976,0.5502
2,4,bit_flip,0.1,0.2868,0.009859006035092977,0.28679999999999994,0.009859006035092939,0.7132000000000001
2,4,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0
2,4,depolarizing,0.001,0.9812,0.004086563348340528,0.9812,0.004086563348340528,0.01880000000000004
2,4,depolarizing,0.002,0.9644,0.0020736441353327337,0.9644,0.0020736441353327337,0.035599999999999965
2,4,depolarizing,0.005,0.923,0.001732050807568887,0.923,0.001732050807568887,0.07699999999999996
2,4,depolarizing,0.01,0.857,0.008366600265340755,0.857,0.008366600265340822,0.14300000000000002
2,4,depolarizing,0.02,0.7386,0.01628803241647069,0.7386,0.016288032416470657,0.26139999999999997
2,4,depolarizing,0.05,0.49779999999999996,0.011122050170719442,0.49779999999999996,0.011122050170719466,0.5022
2,4,depolarizing,0.1,0.31379999999999997,0.012275992831539134,0.31379999999999997,0.012275992831539182,0.6862
2,4,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,4,phase_flip,0.001,0.9795999999999999,0.0034351128074635276,0.9795999999999999,0.0034351128074635276,0.020400000000000085
2,4,phase_flip,0.002,0.9602,0.002167948338867923,0.9602,0.002167948338867923,0.03979999999999995
2,4,phase_flip,0.005,0.9146000000000001,0.002073644135332779,0.9146000000000001,0.002073644135332779,0.08539999999999992
2,4,phase_flip,0.01,0.8416,0.00950263121456366,0.8416,0.0095026312145637,0.15839999999999999
2,4,phase_flip,0.02,0.7091999999999999,0.012637246535539338,0.7091999999999999,0.012637246535539338,0.29080000000000006
2,4,phase_flip,0.05,0.44980000000000003,0.016558985476169727,0.4497999999999999,0.01655898547616976,0.5502
2,4,phase_flip,0.1,0.2868,0.009859006035092977,0.28679999999999994,0.009859006035092939,0.7132000000000001
2,4,readout,0.0,1.0,0.0,1.0,0.0,0.0
2,4,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797
2,4,readout,0.002,0.9964000000000001,0.002073644135332786,0.9964000000000001,0.002073644135332786,0.0035999999999999366
2,4,readout,0.005,0.99,0.0025495097567963944,0.99,0.0025495097567963944,0.010000000000000009
2,4,readout,0.01,0.9804,0.007266360849833971,0.9804,0.007266360849833971,0.01959999999999995
2,4,readout,0.02,0.9640000000000001,0.005244044240850744,0.9640000000000001,0.005244044240850744,0.03599999999999992
2,4,readout,0.05,0.9024000000000001,0.0068044103344816155,0.9024000000000001,0.006804410334481626,0.09759999999999991
2,4,readout,0.1,0.806,0.011135528725660036,0.806,0.011135528725659948,0.19399999999999995
2,4,thermal,0.0,1.0,0.0,1.0,0.0,0.0
2,4,thermal,0.001,1.0,0.0,1.0,0.0,0.0
2,4,thermal,0.002,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695
2,4,thermal,0.005,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595
2,4,thermal,0.01,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899
2,4,thermal,0.02,0.9970000000000001,0.001581138830084216,0.9970000000000001,0.001581138830084216,0.0029999999999998916
2,4,thermal,0.05,0.9942,0.0017888543819998353,0.9942,0.0017888543819998353,0.005800000000000027
2,4,thermal,0.1,0.9846,0.004037325847637266,0.9846,0.004037325847637266,0.01539999999999997
2,8,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,8,bit_flip,0.001,0.9621999999999999,0.0016431676725155234,0.9621999999999999,0.0016431676725155234,0.037800000000000056
2,8,bit_flip,0.002,0.9334,0.003974921382870327,0.9334000000000001,0.003974921382870278,0.06659999999999999
2,8,bit_flip,0.005,0.8488,0.009731392500562286,0.8488,0.009731392500562331,0.1512
2,8,bit_flip,0.01,0.7258,0.012275992831539156,0.7258,0.012275992831539193,0.2742
2,8,bit_flip,0.02,0.5438000000000001,0.013367871932360827,0.5438000000000001,0.01336787193236078,0.45619999999999994
2,8,bit_flip,0.05,0.30019999999999997,0.011606032913963343,0.3001999999999999,0.011606032913963317,0.6998
2,8,bit_flip,0.1,0.242,0.008860022573334682,0.24199999999999994,0.008860022573334674,0.758
2,8,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0
2,8,depolarizing,0.001,0.9662,0.001483239697419098,0.9662,0.001483239697419098,0.03380000000000005
2,8,depolarizing,0.002,0.9405999999999999,0.004159326868617066,0.9405999999999999,0.004159326868617044,0.05940000000000012
2,8,depolarizing,0.005,0.8654,0.008734987120769038,0.8654,0.008734987120769044,0.13460000000000005
2,8,depolarizing,0.01,0.7538,0.016084153692376868,0.7538,0.01608415369237689,0.24619999999999997
2,8,depolarizing,0.02,0.5804,0.012054044964243303,0.5804,0.012054044964243326,0.4196
2,8,depolarizing,0.05,0.33,0.012903487900563945,0.32999999999999996,0.012903487900563984,0.6699999999999999
2,8,depolarizing,0.1,0.2486,0.008848728722251582,0.2486,0.00884872872225157,0.7514000000000001
2,8,phase_flip,0.0,1.0,0.0,1.0,0.0,0.0
2,8,phase_flip,0.001,0.9621999999999999,0.0016431676725155234,0.9621999999999999,0.0016431676725155234,0.037800000000000056
2,8,phase_flip,0.002,0.9334,0.003974921382870327,0.9334000000000001,0.003974921382870278,0.06659999999999999
2,8,phase_flip,0.005,0.8488,0.009731392500562286,0.8488,0.009731392500562331,0.1512
2,8,phase_flip,0.01,0.7258,0.012275992831539156,0.7258,0.012275992831539193,0.2742
2,8,phase_flip,0.02,0.5438000000000001,0.013367871932360827,0.5438000000000001,0.01336787193236078,0.45619999999999994
2,8,phase_flip,0.05,0.30019999999999997,0.011606032913963343,0.3001999999999999,0.011606032913963317,0.6998
2,8,phase_flip,0.1,0.242,0.008860022573334682,0.24199999999999994,0.008860022573334674,0.758
2,8,readout,0.0,1.0,0.0,1.0,0.0,0.0
2,8,readout,0.001,0.9978,0.0013038404810405213,0.9978,0.0013038404810405213,0.0021999999999999797
