qubits,depth,noise_model,gate_count,noise_probability,shots,seed,success_probability,error_rate,fidelity,counts,repetition
2,8,bit_flip,52,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,8,bit_flip,52,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,8,bit_flip,52,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,8,bit_flip,52,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,8,bit_flip,52,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,8,bit_flip,52,0.001,1000,0,0.961,0.039000000000000035,0.9609999999999999,"{'00': 961, '10': 17, '11': 12, '01': 10}",0
2,8,bit_flip,52,0.001,1000,1,0.963,0.03700000000000003,0.9629999999999999,"{'00': 963, '10': 13, '11': 19, '01': 5}",1
2,8,bit_flip,52,0.001,1000,2,0.96,0.040000000000000036,0.96,"{'00': 960, '01': 15, '11': 14, '10': 11}",2
2,8,bit_flip,52,0.001,1000,3,0.963,0.03700000000000003,0.9629999999999999,"{'00': 963, '11': 17, '10': 10, '01': 10}",3
2,8,bit_flip,52,0.001,1000,4,0.964,0.03600000000000003,0.964,"{'00': 964, '10': 17, '01': 9, '11': 10}",4
2,8,bit_flip,52,0.002,1000,0,0.936,0.06399999999999995,0.9359999999999999,"{'00': 936, '11': 29, '01': 16, '10': 19}",0
2,8,bit_flip,52,0.002,1000,1,0.93,0.06999999999999995,0.9300000000000002,"{'00': 930, '10': 16, '01': 22, '11': 32}",1
2,8,bit_flip,52,0.002,1000,2,0.93,0.06999999999999995,0.9300000000000002,"{'00': 930, '01': 19, '10': 26, '11': 25}",2
2,8,bit_flip,52,0.002,1000,3,0.932,0.06799999999999995,0.932,"{'00': 932, '01': 25, '11': 28, '10': 15}",3
2,8,bit_flip,52,0.002,1000,4,0.939,0.061000000000000054,0.939,"{'00': 939, '11': 27, '01': 18, '10': 16}",4
2,8,bit_flip,52,0.005,1000,0,0.862,0.138,0.8619999999999999,"{'00': 862, '10': 45, '01': 36, '11': 57}",0
2,8,bit_flip,52,0.005,1000,1,0.853,0.14700000000000002,0.8529999999999999,"{'00': 853, '11': 60, '10': 42, '01': 45}",1
2,8,bit_flip,52,0.005,1000,2,0.842,0.15800000000000003,0.8419999999999999,"{'10': 46, '00': 842, '11': 58, '01': 54}",2
2,8,bit_flip,52,0.005,1000,3,0.85,0.15000000000000002,0.8500000000000001,"{'00': 850, '01': 51, '10': 48, '11': 51}",3
2,8,bit_flip,52,0.005,1000,4,0.837,0.16300000000000003,0.837,"{'00': 837, '10': 65, '01': 50, '11': 48}",4
2,8,bit_flip,52,0.01,1000,0,0.725,0.275,0.7249999999999999,"{'01': 99, '11': 92, '00': 725, '10': 84}",0
2,8,bit_flip,52,0.01,1000,1,0.741,0.259,0.7410000000000001,"{'00': 741, '01': 90, '10': 71, '11': 98}",1
2,8,bit_flip,52,0.01,1000,2,0.726,0.274,0.726,"{'11': 94, '00': 726, '10': 99, '01': 81}",2
2,8,bit_flip,52,0.01,1000,3,0.73,0.27,0.73,"{'00': 730, '10': 89, '11': 94, '01': 87}",3
2,8,bit_flip,52,0.01,1000,4,0.707,0.29300000000000004,0.707,"{'00': 707, '01': 98, '10': 90, '11': 105}",4
2,8,bit_flip,52,0.02,1000,0,0.539,0.46099999999999997,0.539,"{'10': 159, '11': 142, '01': 160, '00': 539}",0
2,8,bit_flip,52,0.02,1000,1,0.545,0.45499999999999996,0.545,"{'00': 545, '10': 142, '01': 165, '11': 148}",1
2,8,bit_flip,52,0.02,1000,2,0.559,0.44099999999999995,0.559,"{'11': 161, '01': 135, '10': 145, '00': 559}",2
2,8,bit_flip,52,0.02,1000,3,0.552,0.44799999999999995,0.552,"{'00': 552, '01': 149, '10': 147, '11': 152}",3
2,8,bit_flip,52,0.02,1000,4,0.524,0.476,0.5240000000000001,"{'00': 524, '10': 157, '11': 166, '01': 153}",4
2,8,bit_flip,52,0.05,1000,0,0.289,0.7110000000000001,0.2889999999999999,"{'10': 233, '11': 232, '01': 246, '00': 289}",0
2,8,bit_flip,52,0.05,1000,1,0.287,0.7130000000000001,0.2869999999999999,"{'01': 255, '00': 287, '11': 210, '10': 248}",1
2,8,bit_flip,52,0.05,1000,2,0.308,0.692,0.308,"{'11': 231, '10': 214, '00': 308, '01': 247}",2
2,8,bit_flip,52,0.05,1000,3,0.304,0.696,0.304,"{'10': 228, '01': 244, '00': 304, '11': 224}",3
