qubits,depth,noise_model,noise_probability,mean_success,std_success,mean_fidelity,std_fidelity,mean_error_rate,success_ci,success_ci_lower,success_ci_upper
2,4,thermal,0.001,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,4,thermal,0.002,0.9998000000000001,0.0004472135954999242,0.9998000000000001,0.0004472135954999242,0.00019999999999986695,0.000555199999999958,0.9992448000000002,1.0
2,4,thermal,0.005,0.9996,0.0005477225575052004,0.9996,0.0005477225575052004,0.00039999999999995595,0.0006799783525966527,0.9989200216474033,1.0
2,4,thermal,0.01,0.9987999999999999,0.0008366600265340829,0.9987999999999999,0.0008366600265340829,0.0012000000000000899,0.001038684090568455,0.9977613159094314,0.9998386840905684
2,4,thermal,0.02,0.9970000000000001,0.001581138830084216,0.9970000000000001,0.001581138830084216,0.0029999999999998916,0.0019629284245738883,0.9950370715754262,0.998962928424574
2,4,thermal,0.05,0.9942,0.0017888543819998353,0.9942,0.0017888543819998353,0.005800000000000027,0.002220800000000004,0.9919792,0.9964208
2,4,thermal,0.1,0.9846,0.004037325847637266,0.9846,0.004037325847637266,0.01539999999999997,0.005012198495670333,0.9795878015043297,0.9896121984956704
2,8,bit_flip,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,8,bit_flip,0.001,0.9621999999999999,0.0016431676725155234,0.9621999999999999,0.0016431676725155234,0.037800000000000056,0.0020399350577898615,0.9601600649422101,0.9642399350577898
2,8,bit_flip,0.002,0.9334,0.003974921382870327,0.9334000000000001,0.003974921382870278,0.06659999999999999,0.004934725540493576,0.9284652744595064,0.9383347255404936
2,8,bit_flip,0.005,0.8488,0.009731392500562286,0.8488,0.009731392500562331,0.1512,0.012081182617608254,0.8367188173823917,0.8608811826176083
2,8,bit_flip,0.01,0.7258,0.012275992831539156,0.7258,0.012275992831539193,0.2742,0.015240214717647554,0.7105597852823524,0.7410402147176476
2,8,bit_flip,0.02,0.5438000000000001,0.013367871932360827,0.5438000000000001,0.01336787193236078,0.45619999999999994,0.01659574434124606,0.527204255658754,0.5603957443412462
2,8,bit_flip,0.05,0.30019999999999997,0.011606032913963343,0.3001999999999999,0.011606032913963317,0.6998,0.014408482968029653,0.2857915170319703,0.3146084829680296
2,8,bit_flip,0.1,0.242,0.008860022573334682,0.24199999999999994,0.008860022573334674,0.758,0.010999407402219457,0.23100059259778052,0.25299940740221943
2,8,depolarizing,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
2,8,depolarizing,0.001,0.9662,0.001483239697419098,0.9662,0.001483239697419098,0.03380000000000005,0.001841390083605275,0.9643586099163947,0.9680413900836052
2,8,depolarizing,0.002,0.9405999999999999,0.004159326868617066,0.9405999999999999,0.004159326868617044,0.05940000000000012,0.005163658485996122,0.9354363415140038,0.945763658485996
2,8,depolarizing,0.005,0.8654,0.008734987120769038,0.8654,0.008734987120769044,0.13460000000000005,0.010844180271463652,0.8545558197285363,0.8762441802714636
2,8,depolarizing,0.01,0.7538,0.016084153692376868,0.7538,0.01608415369237689,0.24619999999999997,0.019967912916476788,0.7338320870835232,0.7737679129164768
2,8,depolarizing,0.02,0.5804,0.012054044964243303,0.5804,0.012054044964243326,0.4196,0.014964674221646086,0.565435325778354,0.5953646742216461
